id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
1007,4,7,7,4011
1008,4,7,8,2912
1009,4,7,9,5150
1010,4,7,11,10057
1011,4,7,12,6020
1012,4,8,1,2877
1013,4,8,2,4947
1014,4,8,3,5250
1015,4,8,5,3430
1016,4,8,6,4983
1017,4,8,8,9672
1018,4,8,9,4083
1019,4,8,10,10012
1020,4,8,11,5427
1021,4,8,12,2775
1022,4,9,1,8169
1023,4,9,2,3792
1024,4,9,3,4013
1025,4,9,4,5190
1026,4,9,5,9061
1027,4,9,6,3304
1028,4,9,7,9207
1029,4,9,8,5384
1030,4,9,10,2476
1031,4,9,11,4610
1032,4,10,1,9527
1033,4,10,3,4163
1034,4,10,4,3933
1035,4,10,5,6455
1036,4,10,7,3558
1037,4,10,8,5415
1038,4,10,9,10687
1039,4,10,10,10963
1040,4,10,11,4053
1041,4,10,12,11650
1042,4,11,1,4741
1043,4,11,2,3592
1044,4,11,4,8868
1045,4,11,5,5210
1046,4,11,6,8295
1047,4,11,7,9192
1048,4,11,8,3703
1049,4,11,9,2698
1050,4,11,10,6018
1051,4,11,12,3300
1052,4,12,1,3776
1053,4,12,2,2600
1054,4,12,3,6638
1055,4,12,4,5415
1056,4,12,5,3519
1057,4,12,6,2692
1058,4,12,7,5118
1059,4,12,9,8659
1060,4,12,10,3602
1061,4,12,11,8569
1062,4,12,12,8632
1063,4,13,2,7794
1064,4,13,3,2607
1065,4,13,4,3191
1066,4,13,6,8213
1067,4,13,7,4486
1068,4,13,8,9037
1069,4,13,9,5274
1070,4,13,10,3736
1071,4,13,11,2497
1072,4,13,12,8029
1073,4,14,1,8990
1074,4,14,2,6254
1075,4,14,3,7241
1076,4,14,4,2976
1077,4,14,5,6812
1078,4,14,6,5896
1079,4,14,7,3215
1080,4,14,8,2572
1081,4,14,9,4291
1082,4,14,11,7438
1083,4,14,12,4687
1084,4,15,1,2300
1085,4,15,2,4426
1086,4,15,3,4887
1087,4,15,5,2218
1088,4,15,6,4421
1089,4,15,8,4139
1090,4,15,9,3261
1091,4,15,10,8913
1092,4,15,11,5168
1093,4,15,12,3708
1094,4,16,1,7794
1095,4,16,2,3676
1096,4,16,3,3846
1097,4,16,4,6084
1098,4,16,5,7452
1099,4,16,6,3128
1100,4,16,7,8832
1101,4,16,8,6055
1102,4,16,10,2242
1103,4,16,11,4191
1104,4,17,1,6156
1105,4,17,3,2901
1106,4,17,4,1466
1107,4,17,5,4472
1108,4,17,7,2286
1109,4,17,8,4281
1110,4,17,9,8100
1111,4,17,10,6618
1112,4,17,11,2974
1113,4,17,12,11261
1114,4,18,1,3945
1115,4,18,2,2471
1116,4,18,4,5748
1117,4,18,5,3917
1118,4,18,6,6997
1119,4,18,7,7040
1120,4,18,8,2925
1121,4,18,9,2024
1122,4,18,10,4415
1123,4,18,12,2779
1124,4,19,1,2844
1125,4,19,2,1893
1126,4,19,3,3485
1127,4,19,4,3800
1128,4,19,5,2735
1129,4,19,6,1874
1130,4,19,7,4510
1131,4,19,9,6809
1132,4,19,10,3828
1133,4,19,11,7149
1134,4,19,12,8962
1135,4,20,2,6178
1136,4,20,3,2050
1137,4,20,4,3615
1138,4,20,6,6374
1139,4,20,7,3840
1140,4,20,8,7851
1141,4,20,9,4245
1142,4,20,10,2523
1143,4,20,11,1885
1144,4,20,12,10387
1145,4,21,1,8108
1146,4,21,2,5363
1147,4,21,3,6077
1148,4,21,4,2533
1149,4,21,5,7083
1150,4,21,6,3898
1151,4,21,7,2700
1152,4,21,8,1923
1153,4,21,9,3616
1154,4,21,11,6301
1155,4,21,12,6410
1156,4,22,1,1836
1157,4,22,2,3605
1158,4,22,3,3995
1159,4,22,5,1881
1160,4,22,6,4239
1161,4,22,8,6051
1162,4,22,9,2718
1163,4,22,10,7004
1164,4,22,11,4159
1165,4,22,12,5082
1166,4,23,1,6109
1167,4,23,2,2836
1168,4,23,3,2955
1169,4,23,4,4978
1170,4,23,5,6174
1171,4,23,6,2681
1172,4,23,7,7793
1173,4,23,8,3685
1174,4,23,10,1829
1175,4,23,11,3578
1176,4,24,1,5002
1177,4,24,3,1595
1178,4,24,4,1867
1179,4,24,5,3868
1180,4,24,7,2065
1181,4,24,8,3769
1182,4,24,9,6590
1183,4,24,10,6145
1184,4,24,11,2511
1185,4,24,12,10528
1186,4,25,1,3973
1187,4,25,2,2610
1188,4,25,4,5883
1189,4,25,5,4177
1190,4,25,6,6959
1191,4,25,7,6585
