id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
563,Tuesday,25,April,3300
564,Tuesday,25,June,7917
565,Tuesday,25,July,4125
566,Tuesday,25,August,8435
567,Tuesday,25,September,4953
568,Tuesday,25,October,2959
569,Tuesday,25,November,2114
570,Tuesday,25,December,1860
571,Tuesday,26,January,8270
572,Tuesday,26,February,5875
573,Tuesday,26,March,6756
574,Tuesday,26,April,2883
575,Tuesday,26,May,6538
576,Tuesday,26,June,4575
577,Tuesday,26,July,3021
578,Tuesday,26,August,2080
579,Tuesday,26,September,3746
580,Tuesday,26,November,6460
581,Tuesday,26,December,3443
582,Tuesday,27,January,1996
583,Tuesday,27,February,4737
584,Tuesday,27,March,5490
585,Tuesday,27,May,2246
586,Tuesday,27,June,3985
587,Tuesday,27,August,6834
588,Tuesday,27,September,2946
589,Tuesday,27,October,7726
590,Tuesday,27,November,4364
591,Tuesday,27,December,3751
592,Tuesday,28,January,6444
593,Tuesday,28,February,4340
594,Tuesday,28,March,3602
595,Tuesday,28,April,6064
596,Tuesday,28,May,6209
597,Tuesday,28,June,3270
598,Tuesday,28,July,9266
599,Tuesday,28,August,4341
600,Tuesday,28,October,2154
601,Tuesday,28,November,4363
602,Tuesday,29,January,6419
603,Tuesday,29,March,3418
604,Tuesday,29,April,2772
605,Tuesday,29,May,4447
606,Tuesday,29,July,2269
607,Tuesday,29,August,5087
608,Tuesday,29,September,8974
609,Tuesday,29,October,7307
610,Tuesday,29,November,3392
611,Tuesday,29,December,12132
612,Tuesday,30,January,4790
613,Tuesday,30,April,11309
614,Tuesday,30,May,4941
615,Tuesday,30,June,10338
616,Tuesday,30,July,8667
617,Tuesday,30,August,3611
618,Tuesday,30,September,3499
619,Tuesday,30,October,5370
620,Tuesday,30,December,4059
621,Tuesday,31,January,4856
622,Tuesday,31,March,6748
623,Tuesday,31,May,4706
624,Tuesday,31,July,6824
625,Tuesday,31,October,6756
626,Tuesday,31,December,9150
627,Wednesday,1,January,2432
628,Wednesday,1,February,5891
629,Wednesday,1,March,6265
630,Wednesday,1,April,8305
631,Wednesday,1,May,6032
632,Wednesday,1,June,5754
633,Wednesday,1,July,12444
634,Wednesday,1,August,7334
635,Wednesday,1,October,4807
636,Wednesday,1,November,4493
637,Wednesday,2,January,11046
638,Wednesday,2,March,4941
639,Wednesday,2,April,4011
640,Wednesday,2,May,7794
641,Wednesday,2,July,4597
642,Wednesday,2,August,7109
643,Wednesday,2,September,13108
644,Wednesday,2,October,12182
645,Wednesday,2,November,6148
646,Wednesday,2,December,13207
647,Wednesday,3,January,6713
648,Wednesday,3,February,4203
649,Wednesday,3,April,10595
650,Wednesday,3,May,7151
651,Wednesday,3,June,11597
652,Wednesday,3,July,11155
653,Wednesday,3,August,4726
654,Wednesday,3,September,3807
655,Wednesday,3,October,7369
656,Wednesday,3,December,3684
657,Wednesday,4,January,4419
658,Wednesday,4,February,3156
659,Wednesday,4,March,10811
660,Wednesday,4,April,7617
661,Wednesday,4,May,5203
662,Wednesday,4,June,3803
663,Wednesday,4,July,7188
664,Wednesday,4,September,10942
665,Wednesday,4,October,6787
666,Wednesday,4,November,11984
667,Wednesday,4,December,10254
668,Wednesday,5,February,10195
669,Wednesday,5,March,3854
670,Wednesday,5,April,5477
671,Wednesday,5,June,10307
672,Wednesday,5,July,6173
673,Wednesday,5,August,11592
674,Wednesday,5,September,6847
675,Wednesday,5,October,5047
676,Wednesday,5,November,3712
677,Wednesday,5,December,6919
678,Wednesday,6,January,6473
679,Wednesday,6,February,8721
680,Wednesday,6,March,8846
681,Wednesday,6,April,4277
